,months,mean_dry_dry,mean_dry_wet,mean_wet_dry,mean_wet_wet,sd_dry_dry,sd_dry_wet,sd_wet_dry,sd_wet_wet
1,1,0.73703784265025,0.841836128948942,0.79013996873846,0.854039912767628,0.110910677638494,0.0473506213309915,0.0966027493626675,0.0627041148457785
2,2,0.638044990312969,0.881596843971114,0.694097234517191,0.81596635679873,0.17272565379024,0.0741738491475426,0.144963522998112,0.0996561934126887
3,4,0.468358566825335,0.800422338894773,0.53375285173026,0.837669649496426,0.12643611062622,0.0664750687386257,0.164297278785618,0.0705493729626195
4,8,0.238492713688351,0.627828840540855,0.226121090410599,0.607714690989529,0.116853524002287,0.134847630399903,0.107316450806896,0.119130429727244
